,회사명,종목코드,업종
447,슈프리마,236200,통신 및 방송 장비 제조업
448,스튜디오드래곤,253450,"영화, 비디오물, 방송프로그램 제작 및 배급업"
449,신라에스지,025870,음·식료품 및 담배 도매업
450,신라젠,215600,자연과학 및 공학 연구개발업
451,신영스팩5호,323280,금융 지원 서비스업
452,신한제6호스팩,333050,금융 지원 서비스업
453,씨앤투스성진,352700,기타 섬유제품 제조업
454,아가방컴퍼니,013990,생활용품 도매업
455,아래스,050320,기계장비 및 관련 물품 도매업
456,아모텍,052710,전자부품 제조업
457,아미코젠,092040,기타 식품 제조업
458,아이에이,038880,전자부품 제조업
459,아이에이네트웍스,123010,전자부품 제조업
460,아이퀘스트,262840,소프트웨어 개발 및 공급업
461,액트로,290740,전자부품 제조업
462,앱코,129890,컴퓨터 및 주변장치 제조업
463,에스에스알,275630,소프트웨어 개발 및 공급업
464,에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업"
465,에스티팜,237690,의약품 제조업
466,에이씨티,138360,기타 화학제품 제조업
467,에프알텍,073540,통신 및 방송 장비 제조업
468,에프에스티,036810,전자부품 제조업
469,엠에프엠코리아,323230,편조의복 제조업
470,영신금속,007530,기타 금속 가공제품 제조업
471,예림당,036000,"서적, 잡지 및 기타 인쇄물 출판업"
472,오성첨단소재,052420,플라스틱제품 제조업
473,와이더플래닛,321820,소프트웨어 개발 및 공급업
474,우리손에프앤지,073560,"도축, 육류 가공 및 저장 처리업"
475,우림기계,101170,일반 목적용 기계 제조업
476,우수AMS,066590,자동차 신품 부품 제조업
477,원일특강,012620,1차 철강 제조업
478,윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업"
479,윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
480,유니테스트,086390,특수 목적용 기계 제조업
481,유바이오로직스,206650,의약품 제조업
482,유안타제6호스팩,340360,금융 지원 서비스업
483,육일씨엔에쓰,191410,전자부품 제조업
484,이글루시큐리티,067920,기타 정보 서비스업
485,이글벳,044960,기타 전문 도매업
486,이녹스,088390,그외 기타 운송장비 제조업
487,이랜시스,264850,전자부품 제조업
488,이베스트스팩5호,349720,금융 지원 서비스업
489,이엠앤아이,083470,플라스틱제품 제조업
490,이엠텍,091120,전자부품 제조업
