,회사명,종목코드,업종
413,동아엘텍,088130,특수 목적용 기계 제조업
414,디알텍,214680,의료용 기기 제조업
415,디엠티,134580,통신 및 방송 장비 제조업
416,디오,039840,의료용 기기 제조업
417,딜리,131180,컴퓨터 및 주변장치 제조업
418,럭슬,033600,자동차 신품 부품 제조업
419,레드캡투어,038390,여행사 및 기타 여행보조 서비스업
420,레이언스,228850,의료용 기기 제조업
421,로보로보,215100,기타 전기장비 제조업
422,릭스솔루션,029480,통신 및 방송 장비 제조업
423,매일홀딩스,005990,낙농제품 및 식용빙과류 제조업
424,머큐리,100590,통신 및 방송 장비 제조업
425,메디앙스,014100,기타 화학제품 제조업
426,메타바이오메드,059210,의료용품 및 기타 의약 관련제품 제조업
427,멕아이씨에스,058110,의료용 기기 제조업
428,멜파스,096640,전자부품 제조업
429,무림SP,001810,"펄프, 종이 및 판지 제조업"
430,미래에셋대우스팩3호,328380,금융 지원 서비스업
431,미래에셋벤처투자,100790,기타 금융업
432,부스타,008470,"구조용 금속제품, 탱크 및 증기발생기 제조업"
433,비트컴퓨터,032850,소프트웨어 개발 및 공급업
434,사람인에이치알,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
435,삼륭물산,014970,"골판지, 종이 상자 및 종이용기 제조업"
436,삼양옵틱스,225190,사진장비 및 광학기기 제조업
437,삼일,032280,도로 화물 운송업
438,삼일기업공사,002290,건물 건설업
439,삼지전자,037460,통신 및 방송 장비 제조업
440,삼진,032750,통신 및 방송 장비 제조업
441,삼표시멘트,038500,기타 비금속 광물제품 제조업
442,삼화네트웍스,046390,"영화, 비디오물, 방송프로그램 제작 및 배급업"
443,상보,027580,플라스틱제품 제조업
444,상신이디피,091580,일차전지 및 축전지 제조업
445,서린바이오,038070,기타 전문 도매업
446,서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
447,세경하이테크,148150,전자부품 제조업
448,세명전기,017510,기타 금속 가공제품 제조업
449,셀바스AI,108860,소프트웨어 개발 및 공급업
450,손오공,066910,기타 전문 도매업
451,솔루에타,154040,전자부품 제조업
452,슈프리마,236200,통신 및 방송 장비 제조업
453,스튜디오드래곤,253450,"영화, 비디오물, 방송프로그램 제작 및 배급업"
454,승일,049830,기타 금속 가공제품 제조업
455,신라에스지,025870,음·식료품 및 담배 도매업
456,신라젠,215600,자연과학 및 공학 연구개발업
457,신영스팩5호,323280,금융 지원 서비스업
458,신한제6호스팩,333050,금융 지원 서비스업
459,씨앤투스성진,352700,기타 섬유제품 제조업
460,아가방컴퍼니,013990,생활용품 도매업
461,아래스,050320,기계장비 및 관련 물품 도매업
462,아모텍,052710,전자부품 제조업
463,아미코젠,092040,기타 식품 제조업
464,아이에이,038880,전자부품 제조업
465,아이퀘스트,262840,소프트웨어 개발 및 공급업
466,액트로,290740,전자부품 제조업
467,앱코,129890,컴퓨터 및 주변장치 제조업
468,에스에스알,275630,소프트웨어 개발 및 공급업
469,에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업"
470,에스티팜,237690,의약품 제조업
471,에이씨티,138360,기타 화학제품 제조업
472,에이치디,102210,선박 및 보트 건조업
473,에프알텍,073540,통신 및 방송 장비 제조업
474,에프에스티,036810,전자부품 제조업
475,엔시트론,101400,반도체 제조업
476,엘앤케이바이오,156100,의료용 기기 제조업
477,엠에프엠코리아,323230,편조의복 제조업
478,영신금속,007530,기타 금속 가공제품 제조업
479,예림당,036000,"서적, 잡지 및 기타 인쇄물 출판업"
480,오성첨단소재,052420,플라스틱제품 제조업
481,오션브릿지,241790,특수 목적용 기계 제조업
482,와이더플래닛,321820,소프트웨어 개발 및 공급업
483,와이지-원,019210,기타 금속 가공제품 제조업
484,우리손에프앤지,073560,"도축, 육류 가공 및 저장 처리업"
485,우리조명,037400,전구 및 조명장치 제조업
486,우림기계,101170,일반 목적용 기계 제조업
487,우수AMS,066590,자동차 신품 부품 제조업
488,원일특강,012620,1차 철강 제조업
489,윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업"
490,윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
491,유니테스트,086390,특수 목적용 기계 제조업
492,유바이오로직스,206650,의약품 제조업
493,유안타제6호스팩,340360,금융 지원 서비스업
494,육일씨엔에쓰,191410,전자부품 제조업
495,이글루시큐리티,067920,기타 정보 서비스업
496,이글벳,044960,기타 전문 도매업
497,이녹스,088390,그외 기타 운송장비 제조업
498,이랜시스,264850,전자부품 제조업
499,이베스트스팩5호,349720,금융 지원 서비스업
500,이엔코퍼레이션,066980,기타 정보 서비스업
501,이즈미디어,181340,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
502,이지케어텍,099750,소프트웨어 개발 및 공급업
503,인바디,041830,의료용 기기 제조업
504,인선이엔티,060150,폐기물 처리업
505,인포바인,115310,전기 통신업
506,인포뱅크,039290,기타 정보 서비스업
507,잉크테크,049550,기타 화학제품 제조업
508,전진바이오팜,110020,기타 화학제품 제조업
509,정다운,208140,"도축, 육류 가공 및 저장 처리업"
